,City,Latitude,Longitude,Temperature,% Humidity,% Cloudiness,Wind Speed (mph)
472,mukhen,48.1,136.1,36.97,83,100,4.94
473,mahajanga,-15.7167,46.3167,73.42,73,0,8.05
474,college,64.8569,-147.8028,39.6,46,54,4.0
475,henderson,36.0397,-114.9819,70.99,27,0,25.32
476,omboue,-1.5746,9.2618,77.43,91,100,4.81
477,constantine,36.365,6.6147,56.61,54,0,1.14
478,mwinilunga,-11.7358,24.4293,58.98,98,65,3.36
479,villaviciosa,43.4813,-5.4357,54.52,98,100,5.41
480,mitu,1.1983,-70.1733,70.57,99,97,1.16
481,lagoa,39.05,-27.9833,59.61,93,100,18.03
482,pitkyaranta,61.5734,31.4792,26.58,98,65,2.62
483,healdsburg,38.6105,-122.8692,51.44,50,6,11.01
484,chapais,49.7834,-74.8492,38.98,93,100,10.63
485,katsuura,35.1333,140.3,67.06,77,0,12.95
486,emerald,-23.5333,148.1667,86.14,48,40,5.75
487,clarence town,-32.5833,151.7833,72.16,72,43,8.19
488,luwuk,-0.9516,122.7875,86.68,59,80,3.85
489,alberton,46.8168,-64.0654,35.51,81,2,11.54
490,katobu,-4.9408,122.5276,87.64,56,59,3.44
491,southern pines,35.174,-79.3923,68.56,56,100,8.25
492,luleburgaz,41.4039,27.3592,37.78,83,12,6.69
493,albemarle,35.3501,-80.2001,69.93,37,0,6.91
494,surt,31.2089,16.5887,57.45,71,9,14.79
495,sinnamary,5.3833,-52.95,77.13,89,41,10.56
496,macusani,-14.0833,-70.4333,34.92,91,63,1.81
497,yarmouth,41.7057,-70.2286,45.5,78,15,5.01
498,mazyr,52.0495,29.2456,35.01,72,93,10.04
499,roma,43.2128,-75.4557,54.91,81,100,6.38
500,solano,38.2333,-121.9511,55.67,33,86,13.91
501,pandan,14.0453,124.1694,80.69,86,100,12.26
502,pocos de caldas,-21.7878,-46.5614,62.06,89,100,2.48
503,mitsamiouli,-11.3847,43.2844,81.93,76,59,8.79
504,kuningan,-6.9758,108.4831,79.29,71,8,1.68
505,mandalgovi,45.7625,106.2708,32.11,26,100,12.66
506,araguari,-18.6472,-48.1872,73.69,90,100,1.74
507,bayevo,53.2833,80.7667,36.36,59,2,13.4
508,damaturu,11.747,11.9608,83.89,16,82,7.54
509,inhambane,-23.865,35.3833,74.12,90,99,3.09
510,sakakah,29.9697,40.2064,71.17,26,61,8.23
511,makakilo city,21.3469,-158.0858,78.94,59,100,17.27
512,moron,-34.6534,-58.6198,59.38,89,0,6.6
513,ballina,-28.8667,153.5667,77.41,72,40,17.27
514,hanmer springs,-42.5167,172.8167,57.74,80,100,3.33
515,hoa binh,20.8133,105.3383,78.57,76,99,2.53
516,avera,33.194,-82.5271,66.02,53,100,5.82
517,talnakh,69.4865,88.3972,15.21,87,100,11.32
518,sonoita,31.85,-112.8333,69.93,33,0,20.47
519,ridgecrest,35.6225,-117.6709,61.29,32,40,36.82
520,bagotville,-28.9833,153.4167,77.45,77,69,14.81
521,careiro da varzea,-3.2003,-59.8119,79.41,95,100,2.75
522,mandiana,10.6333,-8.6833,86.88,38,97,4.88
523,camalu,30.85,-116.0667,59.52,76,0,12.53
524,bulgan,48.8125,103.5347,29.17,50,29,1.43
525,votice,49.6401,14.6381,30.38,83,39,3.76
526,beri,25.9031,79.8902,90.9,11,100,1.52
527,nynashamn,58.9034,17.9479,30.11,81,6,7.81
528,chanika,-5.4167,38.0167,66.49,98,100,2.95
529,garmsar,35.2182,52.3409,64.65,21,7,3.44
530,ostrovnoy,68.0531,39.5131,30.79,86,61,24.54
531,kilimatinde,-5.85,34.95,62.06,94,73,1.81
532,opuwo,-18.0607,13.84,66.79,77,100,2.71
533,ukiah,39.1502,-123.2078,44.74,73,10,1.99
534,camacha,33.0833,-16.3333,58.42,77,40,16.11
535,fare,-16.7,-151.0167,82.04,72,3,14.27
536,manadhoo,5.7667,73.3833,84.36,73,12,10.54
537,elko,41.0002,-115.5012,25.18,85,100,18.01
538,shelburne,44.0787,-80.2041,48.47,88,100,10.22
539,dinguiraye,11.3,-10.7167,85.32,35,97,3.91
540,sao desiderio,-12.3633,-44.9733,75.06,46,7,2.39
541,qingdao,36.0986,120.3719,51.4,87,100,15.66
542,cascais,38.6979,-9.4215,56.19,87,29,15.01
543,trairi,-3.2778,-39.2689,76.69,88,92,4.9
544,atyrau,47.1167,51.8833,48.22,87,4,8.95
545,ust-nera,64.5667,143.2,12.51,81,34,2.82
546,acapulco,16.8634,-99.8901,79.18,79,18,6.31
547,jiazi,22.8779,116.067,78.84,65,0,1.79
548,choya,52.0108,86.5467,36.93,60,3,2.84
549,zheshart,62.0731,49.5733,37.58,99,100,5.86
550,sangar,63.9242,127.4739,22.23,76,53,2.62
551,kupang,-10.1667,123.5833,84.56,64,46,3.67
552,taoudenni,22.6783,-3.9836,80.02,6,100,7.58
553,eureka,40.8021,-124.1637,45.03,75,37,14.0
554,ust-tsilma,65.441,52.1498,32.94,99,100,2.66
555,langnau,46.9394,7.7874,38.16,76,51,4.09
556,port blair,11.6667,92.75,82.44,83,40,0.0
557,maragogi,-9.0122,-35.2225,76.91,76,100,3.65
558,keti bandar,24.1447,67.4497,79.66,81,51,14.14
559,ayorou,14.7308,0.9174,85.91,12,35,6.64
560,antalaha,-14.9003,50.2788,75.81,81,40,9.44
561,tamale,9.4008,-0.8393,84.13,58,75,10.38
562,adrar,20.5022,-10.0711,78.48,6,14,11.72
